"Tabela 3175 - População residente, por cor ou raça, segundo a situação do domicílio, o sexo e a idade"
"Variável - População residente (Pessoas)"
"Nível";"Cód.";"Brasil e Unidade da Federação";"Sexo";"Idade";"Ano x Cor ou raça x Situação do domicílio"
"Nível";"Cód.";"Brasil e Unidade da Federação";"Sexo";"Idade";"2010"
"Nível";"Cód.";"Brasil e Unidade da Federação";"Sexo";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Sem declaração"
"Nível";"Cód.";"Brasil e Unidade da Federação";"Sexo";"Idade";"Total";"Total";"Total";"Total";"Total";"Total";"Total"
"BR";"1";"Brasil";"Total";"Total";"190755799";"91051646";"14517961";"2084288";"82277333";"817963";"6608"
"UF";"11";"Rondônia";"Total";"Total";"1562409";"551843";"107082";"22209";"869106";"12015";"154"
"UF";"12";"Acre";"Total";"Total";"733559";"174966";"42531";"13875";"486254";"15921";"12"
"UF";"13";"Amazonas";"Total";"Total";"3483985";"740065";"143748";"31773";"2399713";"168680";"6"
"UF";"14";"Roraima";"Total";"Total";"450479";"94252";"26364";"4318";"275908";"49637";"-"
"UF";"15";"Pará";"Total";"Total";"7581051";"1653307";"548825";"69198";"5270307";"39081";"333"
"UF";"16";"Amapá";"Total";"Total";"669526";"160487";"58286";"6602";"436741";"7408";"2"
"UF";"17";"Tocantins";"Total";"Total";"1383445";"345248";"126217";"25534";"873313";"13131";"2"
"UF";"21";"Maranhão";"Total";"Total";"6574789";"1455119";"636808";"74219";"4373321";"35272";"50"
"UF";"22";"Piauí";"Total";"Total";"3118360";"759361";"292951";"66731";"1996371";"2944";"2"
"UF";"23";"Ceará";"Total";"Total";"8452381";"2704732";"392733";"105307";"5230214";"19336";"59"
"UF";"24";"Rio Grande do Norte";"Total";"Total";"3168027";"1303592";"166090";"32796";"1662645";"2597";"307"
"UF";"25";"Paraíba";"Total";"Total";"3766528";"1499253";"212968";"48487";"1986619";"19149";"52"
"UF";"26";"Pernambuco";"Total";"Total";"8796448";"3225294";"570795";"82152";"4864865";"53284";"58"
"UF";"27";"Alagoas";"Total";"Total";"3120494";"986326";"205154";"36684";"1877818";"14509";"3"
"UF";"28";"Sergipe";"Total";"Total";"2068017";"583428";"184054";"25708";"1269565";"5219";"43"
"UF";"29";"Bahia";"Total";"Total";"14016906";"3110605";"2397249";"158925";"8293057";"56381";"689"
"UF";"31";"Minas Gerais";"Total";"Total";"19597330";"8894547";"1806541";"187119";"8677745";"31112";"266"
"UF";"32";"Espírito Santo";"Total";"Total";"3514952";"1481678";"293334";"21956";"1708796";"9160";"28"
"UF";"33";"Rio de Janeiro";"Total";"Total";"15989929";"7583047";"1978681";"122838";"6288095";"15894";"1374"
"UF";"35";"São Paulo";"Total";"Total";"41262199";"26371709";"2277764";"558354";"12010079";"41794";"2499"
"UF";"41";"Paraná";"Total";"Total";"10444526";"7344122";"330830";"123205";"2620378";"25915";"76"
"UF";"42";"Santa Catarina";"Total";"Total";"6248436";"5246868";"183857";"26017";"775558";"16041";"95"
"UF";"43";"Rio Grande do Sul";"Total";"Total";"10693929";"8900007";"595123";"35682";"1130043";"32989";"85"
"UF";"50";"Mato Grosso do Sul";"Total";"Total";"2449024";"1158103";"120096";"29957";"1067560";"73295";"13"
"UF";"51";"Mato Grosso";"Total";"Total";"3035122";"1137150";"229890";"34642";"1590707";"42538";"195"
"UF";"52";"Goiás";"Total";"Total";"6003788";"2502119";"391918";"98478";"3002673";"8533";"67"
"UF";"53";"Distrito Federal";"Total";"Total";"2570160";"1084418";"198072";"41522";"1239882";"6128";"138"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1 - Dados do Universo."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
